                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70131,                 2.5253,                 1.3118,                0.00333,                      1,                0.82833,                0.29571,                0.31593,                 3.1318,                 1.0786,                      0,                      0,                      0
                      2,                0.69237,                 2.4943,                  1.281,                0.00333,                      1,                0.82833,                0.33161,                   0.32,                 3.1091,                  1.058,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.58189,                 2.3703,                 1.2102,                0.00333,                      1,                0.82833,                0.40606,                0.30793,                 3.1135,                 1.0505,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                0.54893,                 2.4461,                 1.2364,                0.00333,                      1,                0.84917,                0.38631,                0.30326,                  3.092,                 1.0505,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.54708,                 2.4316,                 1.1929,                0.00333,                      1,                 0.8075,                0.47279,                0.28469,                 3.0627,                 1.0528,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.54781,                 2.1568,                 1.2062,                0.00333,                      1,                 0.8075,                0.62344,                0.28012,                 3.0653,                 1.0398,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.46029,                  2.021,                 1.1269,                0.00333,                      1,                  0.995,                0.78677,                0.28907,                 3.0594,                 1.0143,             0.00011287,             0.00011287,             0.00011287
                      8,                0.42593,                  1.824,                 1.0835,                0.00333,                      1,                  0.995,                0.89506,                0.32218,                 3.0501,                 1.0169,              0.0001303,              0.0001303,              0.0001303
                      9,                0.56197,                 1.7574,                 1.2785,                0.00333,                      1,                  0.995,                0.88881,                0.37673,                 2.9746,                 1.0268,             0.00014733,             0.00014733,             0.00014733
                     10,                0.48139,                  1.485,                 1.1451,                0.00333,                      1,                  0.995,                0.84556,                0.43256,                 2.9293,                 1.0922,             0.00016396,             0.00016396,             0.00016396
                     11,                0.38461,                 1.4187,                 1.0568,                0.00333,                      1,                  0.995,                0.80182,                0.39942,                 2.8701,                 1.0544,              0.0001802,              0.0001802,              0.0001802
                     12,                0.39349,                 1.1956,                 1.0472,                0.00333,                      1,                  0.995,                0.77059,                0.39156,                 2.8918,                 1.0056,             0.00019604,             0.00019604,             0.00019604
                     13,                0.34029,                 1.1072,                0.99351,                0.00333,                      1,                  0.995,                0.82695,                0.37986,                 2.9319,                 1.0126,             0.00021149,             0.00021149,             0.00021149
                     14,                0.36415,                 1.0468,                 1.1138,                0.00333,                      1,                  0.995,                0.93256,                0.34964,                 2.9718,                 1.0142,             0.00022654,             0.00022654,             0.00022654
                     15,                0.43835,                 1.0833,                 1.0738,                0.00333,                      1,                  0.995,                0.91382,                0.34986,                 2.9544,                 1.0253,             0.00024119,             0.00024119,             0.00024119
                     16,                0.35557,                 0.8472,                 1.0068,                0.00333,                      1,                  0.995,                0.88881,                0.38122,                 2.9294,                 1.0214,             0.00025545,             0.00025545,             0.00025545
                     17,                0.38916,                0.89749,                 1.0566,                0.00333,                      1,                  0.995,                0.87007,                0.45289,                 2.9741,                 1.0358,             0.00026931,             0.00026931,             0.00026931
                     18,                 0.3585,                 0.8445,                0.99805,                0.00333,                      1,                  0.995,                0.87007,                0.45289,                 2.9741,                 1.0358,             0.00028278,             0.00028278,             0.00028278
                     19,                0.42994,                0.91398,                 1.0836,                0.00333,                      1,                  0.995,                0.88256,                0.43626,                 2.8778,                 1.0226,             0.00029585,             0.00029585,             0.00029585
                     20,                0.39724,                0.86334,                  1.033,                0.00333,                      1,                  0.995,                0.88256,                0.43626,                 2.8778,                 1.0226,             0.00030852,             0.00030852,             0.00030852
                     21,                0.50523,                 1.0094,                 1.1757,                0.00333,                      1,                  0.995,                0.87053,                0.40603,                 2.7497,                0.98648,              0.0003208,              0.0003208,              0.0003208
                     22,                  0.433,                0.89655,                  1.069,                0.00333,                      1,                  0.995,                0.87053,                0.40603,                 2.7497,                0.98648,             0.00033268,             0.00033268,             0.00033268
                     23,                0.42465,                0.90032,                 1.0751,                0.00333,                      1,                  0.995,                0.72949,                0.43784,                 2.7683,                0.99828,             0.00034417,             0.00034417,             0.00034417
                     24,                0.38846,                0.90889,                 1.0239,                0.00333,                      1,                  0.995,                0.72949,                0.43784,                 2.7683,                0.99828,             0.00035526,             0.00035526,             0.00035526
                     25,                0.38667,                 1.0299,                 1.0523,                0.04437,                      1,                  0.995,                0.68386,                0.47572,                  2.808,                 1.0198,             0.00036595,             0.00036595,             0.00036595
                     26,                0.37929,                0.71771,                 1.0266,                0.04437,                      1,                  0.995,                0.68386,                0.47572,                  2.808,                 1.0198,             0.00037625,             0.00037625,             0.00037625
                     27,                0.43467,                0.98644,                 1.0696,                0.62828,                      1,                  0.995,                0.77061,                 0.4048,                 2.7586,                 0.9943,             0.00038615,             0.00038615,             0.00038615
                     28,                0.40643,                0.88125,                 1.0697,                0.62828,                      1,                  0.995,                0.77061,                 0.4048,                 2.7586,                 0.9943,             0.00039566,             0.00039566,             0.00039566
                     29,                0.38592,                0.82568,                 1.0461,                0.93409,                      1,                  0.995,                0.96378,                0.43915,                 2.4499,                 1.0192,             0.00040477,             0.00040477,             0.00040477
                     30,                0.43644,                0.79454,                  1.134,                0.93409,                      1,                  0.995,                0.96378,                0.43915,                 2.4499,                 1.0192,             0.00041348,             0.00041348,             0.00041348
                     31,                 0.3947,                0.79744,                 1.0712,                0.96487,                      1,                  0.995,                0.90778,                0.57616,                 2.1909,                 1.2224,              0.0004218,              0.0004218,              0.0004218
                     32,                  0.383,                0.78063,                 1.0327,                0.96487,                      1,                  0.995,                0.90778,                0.57616,                 2.1909,                 1.2224,             0.00042972,             0.00042972,             0.00042972
                     33,                0.37165,                0.83307,                 1.0125,                 0.9821,                      1,                  0.995,                0.88281,                0.56408,                 2.0602,                 1.2321,             0.00043725,             0.00043725,             0.00043725
                     34,                0.39193,                0.80615,                 1.0229,                 0.9821,                      1,                  0.995,                0.88281,                0.56408,                 2.0602,                 1.2321,             0.00044438,             0.00044438,             0.00044438
                     35,                0.40479,                0.77557,                 1.0432,                 0.9789,                      1,                  0.995,                0.92854,                0.43484,                 2.1239,                 1.0453,             0.00045111,             0.00045111,             0.00045111
                     36,                0.36396,                0.81511,                0.99363,                 0.9789,                      1,                  0.995,                0.92854,                0.43484,                 2.1239,                 1.0453,             0.00045745,             0.00045745,             0.00045745
                     37,                0.48592,                 0.8308,                 1.1183,                0.97788,                      1,                  0.995,                0.92854,                 0.4371,                 2.1783,                  1.087,             0.00046339,             0.00046339,             0.00046339
                     38,                0.41351,                0.77863,                 1.0014,                0.97788,                      1,                  0.995,                0.92854,                 0.4371,                 2.1783,                  1.087,             0.00046894,             0.00046894,             0.00046894
                     39,                0.45917,                0.97348,                 1.2108,                0.97686,                      1,                  0.995,                0.90358,                0.48486,                 2.0385,                 1.2376,             0.00047409,             0.00047409,             0.00047409
                     40,                0.38109,                0.75339,                 1.0198,                0.97686,                      1,                  0.995,                0.90358,                0.48486,                 2.0385,                 1.2376,             0.00047884,             0.00047884,             0.00047884
                     41,                0.42532,                0.79231,                 1.0077,                0.98593,                      1,                  0.995,                0.93254,                0.48912,                 1.8362,                 1.2962,              0.0004832,              0.0004832,              0.0004832
